Total,FalseAlarm,HitRate,Syllable,Subject,Block,Condition,Position
4,0.25,0.75,fe,9,3,1,
7,0.571428571,0.75,ta,10,1,1,
6,0.333333333,1,ti,10,1,1,
4,0,1,me,10,1,1,
4,0.25,0.75,pu,10,1,1,
4,0,1,su,10,1,1,
4,0,1,ru,10,1,1,
5,0.2,1,ko,10,1,1,
2,0,0.5,re,10,1,1,
4,0.25,0.75,fu,10,1,1,
4,0,1,ni,10,1,1,
4,0,1,ge,10,1,1,
6,0.333333333,1,fe,10,1,1,
6,0.5,0.75,me,10,2,1,
5,0.2,1,ti,10,2,1,
4,0,1,ta,10,2,1,
4,0,1,pu,10,2,1,
4,0,1,ko,10,2,1,
4,0,1,fe,10,2,1,
4,0,1,ge,10,2,1,
5,0.2,1,ru,10,2,1,
4,0,1,su,10,2,1,
1,0,0,re,10,2,1,
4,0,1,ni,10,2,1,
3,0,0.75,fu,10,2,1,
4,0,1,pu,10,3,1,
3,0.333333333,0.5,ta,10,3,1,
4,0.25,0.75,me,10,3,1,
3,0,0.75,fe,10,3,1,
4,0,1,ko,10,3,1,
6,0.333333333,1,ti,10,3,1,
5,0.2,1,ni,10,3,1,
3,0,0.75,re,10,3,1,
4,0,1,fu,10,3,1,
4,0,1,ru,10,3,1,
4,0,1,ge,10,3,1,
4,0,1,su,10,3,1,
5,0.2,1,pu,11,1,1,
6,0.333333333,1,ta,11,1,1,
4,0,1,me,11,1,1,
4,0,1,fe,11,1,1,
4,0,1,ko,11,1,1,
3,0,0.75,ti,11,1,1,
3,0,0.75,ni,11,1,1,
3,0,0.75,re,11,1,1,
5,0.2,1,fu,11,1,1,
3,0,0.75,ru,11,1,1,
4,0,1,ge,11,1,1,
4,0,1,su,11,1,1,
4,0,1,me,11,2,1,
4,0.25,0.75,ti,11,2,1,
5,0.2,1,ta,11,2,1,
3,0,0.75,pu,11,2,1,
4,0,1,ko,11,2,1,
3,0,0.75,fe,11,2,1,
4,0,1,ge,11,2,1,
4,0.5,0.5,ru,11,2,1,
4,0,1,su,11,2,1,
4,0,1,re,11,2,1,
4,0,1,ni,11,2,1,
4,0,1,fu,11,2,1,
4,0,1,ta,11,3,1,
3,0,0.75,ti,11,3,1,
4,0,1,me,11,3,1,
3,0.333333333,0.5,pu,11,3,1,
4,0,1,su,11,3,1,
4,0,1,ru,11,3,1,
4,0,1,ko,11,3,1,
5,0.2,1,re,11,3,1,
4,0,1,fu,11,3,1,
4,0,1,ni,11,3,1,
4,0,1,ge,11,3,1,
3,0,0.75,fe,11,3,1,
7,0.571428571,0.75,ta,12,1,1,
6,0.5,0.75,ti,12,1,1,
4,0,1,me,12,1,1,
6,0.333333333,1,pu,12,1,1,
4,0,1,su,12,1,1,
5,0.2,1,ru,12,1,1,
5,0.2,1,ko,12,1,1,
5,0.2,1,re,12,1,1,
7,0.428571429,1,fu,12,1,1,
5,0.2,1,ni,12,1,1,
4,0,1,ge,12,1,1,
5,0.2,1,fe,12,1,1,
3,0,0.75,me,12,2,1,
6,0.333333333,1,ti,12,2,1,
4,0.5,0.5,ta,12,2,1,
5,0.2,1,pu,12,2,1,
4,0,1,ko,12,2,1,
5,0.2,1,fe,12,2,1,
4,0,1,ge,12,2,1,
7,0.428571429,1,ru,12,2,1,
4,0,1,su,12,2,1,
7,0.428571429,1,re,12,2,1,
4,0,1,ni,12,2,1,
3,0,0.75,fu,12,2,1,
6,0.333333333,1,pu,12,3,1,
6,0.5,0.75,ta,12,3,1,
4,0,1,me,12,3,1,
3,0,0.75,fe,12,3,1,
4,0.25,0.75,ko,12,3,1,
4,0,1,ti,12,3,1,
4,0,1,ni,12,3,1,
5,0.2,1,re,12,3,1,
6,0.333333333,1,fu,12,3,1,
4,0,1,ru,12,3,1,
4,0,1,ge,12,3,1,
4,0,1,su,12,3,1,
